Issue Type;Issue key;Issue id;Summary;Assignee;Reporter;Priority;Status;Resolution;Created;Updated;Due Date
Bug;COLLECTIONS-714;13231018;PatriciaTrie ignores trailing null characters in keys;;rohanpadhye;Critical;Open;;30/Apr/19 23:11;19/Mar/20 08:32;
Bug;COLLECTIONS-721;13239832;functors.InvokerTransformer backward incompatibility bug;;lingchao;Major;Closed;Not A Bug;16/Jun/19 21:48;24/Jul/19 18:57;
