GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED, MUTATION,M_RANK,L_RANK,d,d^2,B_RANK,d,d^2
Apache Commons Collections,org.apache.commons.collections4.trie,AbstractBitwiseTrie,15,24,3%,218,84,134,17956,62,156,24336
Apache Commons Collections,org.apache.commons.collections4.list,NodeCachingLinkedList,12,51,0%,219,39,180,32400,72,147,21609
Apache Commons Collections,org.apache.commons.collections4.list,TreeList,16,53,0%,219,38,181,32761,57,162,26244
Apache Commons Collections,org.apache.commons.collections4.list,AbstractSerializableListDecorator,0,8,25%,193,194,-1,1,196,-3,9
Apache Commons Collections,org.apache.commons.collections4.list,TransformedList,7,26,83%,108,78,30,900,101,7,49
Apache Commons Collections,org.apache.commons.collections4.list,FixedSizeList,0,18,75%,128,127,1,1,196,-68,4624
Apache Commons Collections,org.apache.commons.collections4.list,AbstractLinkedList,91,190,0%,219,8,211,44521,9,210,44100
Apache Commons Collections,org.apache.commons.collections4.list,UnmodifiableList,2,22,100%,1,97,-96,9216,157,-156,24336
Apache Commons Collections,org.apache.commons.collections4.list,AbstractListDecorator,4,16,88%,85,142,-57,3249,125,-40,1600
Apache Commons Collections,org.apache.commons.collections4.list,GrowthList,6,20,50%,173,116,57,3249,110,63,3969
Apache Commons Collections,org.apache.commons.collections4.list,CursorableLinkedList,19,76,0%,219,27,192,36864,47,172,29584
Apache Commons Collections,org.apache.commons.collections4.list,SetUniqueList,26,71,85%,101,29,72,5184,37,64,4096
Apache Commons Collections,org.apache.commons.collections4.list,PredicatedList,6,21,71%,138,105,33,1089,110,28,784
Apache Commons Collections,org.apache.commons.collections4.list,LazyList,8,24,68%,150,84,66,4356,92,58,3364
Apache Commons Collections,org.apache.commons.collections4.functors,ComparatorPredicate,17,23,100%,1,92,-91,8281,53,-52,2704
Apache Commons Collections,org.apache.commons.collections4.functors,MapTransformer,2,7,80%,119,210,-91,8281,157,-38,1444
Apache Commons Collections,org.apache.commons.collections4.functors,ExceptionPredicate,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,InstantiateTransformer,14,19,88%,85,121,-36,1296,64,21,441
Apache Commons Collections,org.apache.commons.collections4.functors,OrPredicate,7,8,86%,96,194,-98,9604,101,-5,25
Apache Commons Collections,org.apache.commons.collections4.functors,NotNullPredicate,2,4,100%,1,236,-235,55225,157,-156,24336
Apache Commons Collections,org.apache.commons.collections4.functors,FactoryTransformer,2,7,75%,128,210,-82,6724,157,-29,841
Apache Commons Collections,org.apache.commons.collections4.functors,NonePredicate,8,14,100%,1,155,-154,23716,92,-91,8281
Apache Commons Collections,org.apache.commons.collections4.functors,ForClosure,8,12,85%,101,168,-67,4489,92,9,81
Apache Commons Collections,org.apache.commons.collections4.functors,StringValueTransformer,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.functors,WhileClosure,8,15,64%,154,148,6,36,92,62,3844
Apache Commons Collections,org.apache.commons.collections4.functors,UniquePredicate,0,5,100%,1,230,-229,52441,196,-195,38025
