GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED, MUTATION,M_RANK,L_RANK,d,d^2,B_RANK,d,d^2
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,8,23,94%,68,92,-24,576,92,-24,576
Apache Commons Collections,org.apache.commons.collections4,PredicateUtils,0,26,83%,108,78,30,900,196,-88,7744
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,6,13,88%,85,160,-75,5625,110,-25,625
Apache Commons Collections,org.apache.commons.collections4,BagUtils,0,11,73%,134,178,-44,1936,196,-62,3844
Apache Commons Collections,org.apache.commons.collections4,SetUtils,35,43,73%,134,45,89,7921,28,106,11236
Apache Commons Collections,org.apache.commons.collections4,ComparatorUtils,14,25,81%,117,81,36,1296,64,53,2809
Apache Commons Collections,org.apache.commons.collections4,FluentIterable,4,45,100%,1,43,-42,1764,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,100,168,78%,123,9,114,12996,8,115,13225
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,4,28,100%,1,70,-69,4761,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4,ArrayUtils,9,9,53%,171,188,-17,289,86,85,7225
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,7,8,48%,180,194,-14,196,101,79,6241
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,250,337,88%,85,2,83,6889,1,84,7056
Apache Commons Collections,org.apache.commons.collections4,MultiMapUtils,16,22,63%,156,97,59,3481,57,99,9801
Apache Commons Collections,org.apache.commons.collections4,TrieUtils,0,1,100%,1,263,-262,68644,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4,IterableUtils,59,120,84%,105,12,93,8649,15,90,8100
Apache Commons Collections,org.apache.commons.collections4,ArrayStack,10,24,0%,219,84,135,18225,79,140,19600
Apache Commons Collections,org.apache.commons.collections4,FactoryUtils,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4,MapUtils,178,285,87%,93,6,87,7569,6,87,7569
Apache Commons Collections,org.apache.commons.collections4,ListUtils,66,91,81%,117,18,99,9801,13,104,10816
Apache Commons Collections,org.apache.commons.collections4,QueueUtils,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4,MultiSetUtils,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,4,34,100%,1,58,-57,3249,125,-124,15376
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSetDecorator,4,6,18%,202,220,-18,324,125,77,5929
Apache Commons Collections,org.apache.commons.collections4.multiset,HashMultiSet,0,12,0%,219,168,51,2601,196,23,529
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet,2,22,23%,196,97,99,9801,157,39,1521
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet,43,102,17%,203,15,188,35344,19,184,33856
Apache Commons Collections,org.apache.commons.collections4.multiset,PredicatedMultiSet,4,12,21%,197,168,29,841,125,72,5184
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet,19,33,0%,219,60,159,25281,47,172,29584
Apache Commons Collections,org.apache.commons.collections4.multiset,UnmodifiableMultiSet,2,22,20%,198,97,101,10201,157,41,1681
Apache Commons Collections,org.apache.commons.collections4.queue,SynchronizedQueue,2,20,8%,211,116,95,9025,157,54,2916
Apache Commons Collections,org.apache.commons.collections4.queue,AbstractQueueDecorator,0,4,29%,190,236,-46,2116,196,-6,36
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,3,16,83%,108,142,-34,1156,154,-46,2116
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,44,86,91%,76,22,54,2916,18,58,3364
Apache Commons Collections,org.apache.commons.collections4.queue,PredicatedQueue,0,10,78%,123,183,-60,3600,196,-73,5329
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,2,21,63%,156,105,51,2601,157,-1,1
,,,,,,,,,,,,
,,,,,,,,sum of d^2,3844909,,sum of d^2,2966270
,,,,,,,,numerator,23069454,,numerator,17797620
,,,,,,,,,,,,
,,,,,,,,n,267,,n,267
,,,,,,,,n^3,19034163,,n^3,19034163
,,,,,,,,denominator,19033896,,denominator,19033896
,,,,,,,,,,,,
,,,,,,,,r,-0.212019547,,r,0.064951285
