GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED,MUTATION,M_LINK,L_LINK,d,d^2,B_LINK,d,d^2
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,7,100%,1,149,-148,21904,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,26,44,100%,1,56,-55,3025,40,-39,1521
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,148,211,92%,113,9,104,10816,1,112,12544
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,1,100%,1,172,-171,29241,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,21,27,96%,92,84,8,64,46,46,2116
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,33,66,87%,130,39,91,8281,30,100,10000
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,2,8,60%,156,144,12,144,119,37,1369
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathContextFactory,0,6,100%,1,156,-155,24025,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,12,24,100%,1,94,-93,8649,74,-73,5329
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,30,50,100%,1,49,-48,2304,33,-32,1024
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathExpressionEngine,57,114,87%,130,22,108,11664,17,113,12769
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointer,11,35,83%,139,68,71,5041,78,61,3721
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,14,24,97%,87,94,-7,49,65,22,484
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,3,22,93%,107,102,5,25,116,-9,81
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,FileExtensionConfigurationBuilderProvider,13,22,93%,107,102,5,25,70,37,1369
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ConfigurationDeclaration,14,23,88%,126,100,26,676,65,61,3721
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,71,257,90%,116,4,112,12544,13,103,10609
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,4,23,100%,1,100,-99,9801,109,-108,11664
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,4,16,75%,146,117,29,841,109,37,1369
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingCombinedConfigurationBuilder,6,32,92%,113,77,36,1296,99,14,196
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder,0,13,100%,1,130,-129,16641,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,20,68,97%,87,37,50,2500,48,39,1521
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,30,106,98%,85,25,60,3600,33,52,2704
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,3,15,90%,116,122,-6,36,116,0,0
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,2,19,80%,145,110,35,1225,119,26,676
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,10,33,100%,1,74,-73,5329,82,-81,6561
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,18,61,100%,1,44,-43,1849,58,-57,3249
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedConfigurationBuilder,39,84,92%,113,30,83,6889,25,88,7744
Apache Commons Configuration,org.apache.commons.configuration2.builder,AutoSaveListener,12,22,100%,1,102,-101,10201,74,-73,5329
Apache Commons Configuration,org.apache.commons.configuration2.builder,HierarchicalBuilderParametersImpl,0,6,100%,1,156,-155,24025,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderParametersImpl,0,12,100%,1,136,-135,18225,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.builder,CopyObjectDefaultHandler,2,13,100%,1,130,-129,16641,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderEvent,0,6,100%,1,156,-155,24025,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedBuilderParametersImpl,18,65,100%,1,42,-41,1681,58,-57,3249
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultReloadingDetectorFactory,2,6,67%,154,156,-2,4,119,35,1225
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderResultCreatedEvent,2,7,100%,1,149,-148,21904,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingBuilderSupportListener,2,14,100%,1,126,-125,15625,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.builder,JndiBuilderParametersImpl,0,5,100%,1,163,-162,26244,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicBuilderParameters,46,109,96%,92,24,68,4624,20,72,5184
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder,2,27,100%,1,84,-83,6889,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder,39,135,93%,107,16,91,8281,25,82,6724
Apache Commons Configuration,org.apache.commons.configuration2.builder,INIBuilderProperties,0,0,0%,173,173,0,0,136,37,1369
Apache Commons Configuration,org.apache.commons.configuration2.builder,INIBuilderParametersImpl,0,7,30%,167,149,18,324,136,31,961
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderProperties,0,0,0%,173,173,0,0,136,37,1369
Apache Commons Configuration,org.apache.commons.configuration2.builder,XMLBuilderParametersImpl,0,17,100%,1,113,-112,12544,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory,6,21,100%,1,106,-105,11025,99,-98,9604
Apache Commons Configuration,org.apache.commons.configuration2.builder,DatabaseBuilderParametersImpl,0,15,100%,1,122,-121,14641,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager,12,25,100%,1,92,-91,8281,74,-73,5329
Apache Commons Configuration,org.apache.commons.configuration2.builder,EventListenerParameters,0,9,100%,1,141,-140,19600,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters,2,27,100%,1,84,-83,6889,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Configurations,2,44,100%,1,56,-55,3025,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.io,AbsoluteNameLocationStrategy,6,6,100%,1,156,-155,24025,99,-98,9604
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocatorUtils,69,112,94%,103,23,80,6400,14,89,7921
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystemLocationStrategy,0,3,100%,1,165,-164,26896,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.io,BasePathLocationStrategy,4,8,100%,1,144,-143,20449,109,-108,11664
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem,30,56,59%,157,48,109,11881,33,124,15376
Apache Commons Configuration,org.apache.commons.configuration2.io,CombinedLocationStrategy,8,15,100%,1,122,-121,14641,89,-88,7744
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystem,2,7,100%,1,149,-148,21904,119,-118,13924
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem,13,29,17%,170,82,88,7744,70,100,10000
Apache Commons Configuration,org.apache.commons.configuration2.io,HomeDirectoryLocationStrategy,10,24,100%,1,94,-93,8649,82,-81,6561
