GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,COMPLEXITY_TOTAL,BRANCH_RANK,LINE_RANK,CC_RANK,d_Branch,d_Line,d^2_Branch,d^2_Line
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory,0,71,0,6,0,10,0,3,0,2,3,130,176,227,-97,-51,9409,2601
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters.ParametersIfcInvocationHandler,0,33,0,6,2,61,0,26,0,17,26,131,48,57,74,-9,5476,81
Apache Commons Configuration,org.apache.commons.configuration2.io,AbsoluteNameLocationStrategy,0,24,0,6,0,84,1,38,0,19,39,132,31,36,96,-5,9216,25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator,0,155,0,6,0,4,0,1,0,1,1,133,234,278,-145,-44,21025,1936
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController,0,63,0,6,0,22,0,13,0,7,13,134,124,110,24,14,576,196
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController.MultiReloadingControllerDetector,0,45,0,6,0,6,0,3,0,3,3,135,211,227,-92,-16,8464,256
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,1,34,1,5,0,12,0,6,0,6,6,136,172,162,-26,10,676,100
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,429,82,11,5,0,12,1,8,0,3,9,137,172,136,1,36,1,1296
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,4,78,1,5,0,13,0,4,0,3,4,138,165,196,-58,-31,3364,961
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.PListNodeBuilder,35,158,3,5,0,6,0,3,0,3,3,139,211,227,-88,-16,7744,256
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesWriter,0,99,0,4,0,65,0,30,0,21,30,140,44,49,91,-5,8281,25
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,0,192,0,4,0,6,0,3,0,2,3,141,211,227,-86,-16,7396,256
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedVisitor,0,21,0,4,0,7,0,6,0,3,6,142,199,162,-20,37,400,1369
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,0,72,0,4,0,7,0,4,0,3,4,143,199,196,-53,3,2809,9
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,6,76,0,4,0,14,0,4,0,3,4,144,159,196,-52,-37,2704,1369
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.BuilderConfigurationWrapperInvocationHandler,0,47,0,4,0,5,0,3,0,3,3,145,226,227,-82,-1,6724,1
Apache Commons Configuration,org.apache.commons.configuration2.io,BasePathLocationStrategy,0,21,0,4,2,109,0,52,0,29,52,146,24,24,122,0,14884,0
Apache Commons Configuration,org.apache.commons.configuration2.io,ConfigurationLogger,0,91,0,4,1,6,1,6,1,6,7,147,211,154,-7,57,49,3249
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateComponentParser,0,38,0,4,0,27,0,12,0,11,12,148,102,118,30,-16,900,256
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeUpdateData,3,47,0,4,1,135,1,55,0,36,56,149,16,23,126,-7,15876,49
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,0,166,0,4,2,0,2,0,2,0,2,150,279,243,-93,36,8649,1296
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,2,67,1,3,5,7,1,4,1,4,5,151,199,178,-27,21,729,441
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,1,61,1,3,1,0,1,0,1,0,1,152,279,278,-126,1,15876,1
Apache Commons Configuration,org.apache.commons.configuration2.resolver,DefaultEntityResolver,40,25,3,3,0,17,0,9,0,9,9,153,142,136,17,6,289,36
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.CatalogManager,8,54,5,3,0,11,0,6,0,4,6,154,174,162,-8,12,64,144
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variable,22,46,1,3,0,21,0,9,0,6,9,155,130,136,19,-6,361,36
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,89,0,2,0,15,0,8,0,8,8,156,154,147,9,7,81,49
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,25,0,12,0,6,12,157,111,118,39,-7,1521,49
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,31,0,2,0,9,0,5,0,5,5,158,183,178,-20,5,400,25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,54,0,2,0,27,0,17,0,16,17,159,102,86,73,16,5329,256
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,0,24,0,2,0,44,0,42,0,41,42,160,63,33,127,30,16129,900
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,0,35,0,2,0,8,0,6,0,3,6,161,189,162,-1,27,1,729
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet,0,28,0,2,0,3,0,2,0,2,2,162,250,243,-81,7,6561,49
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,0,25,0,2,0,6,0,5,0,2,5,163,211,178,-15,33,225,1089
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,0,75,0,2,0,3,0,2,0,2,2,164,250,243,-79,7,6241,49
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,18,28,2,2,0,4,0,2,0,2,2,165,234,243,-78,-9,6084,81
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,0,65,0,2,0,4,0,2,0,2,2,166,234,243,-77,-9,5929,81
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder.new CombinedReloadingController() {...},0,37,0,2,2,3,2,3,2,3,5,167,250,178,-11,72,121,5184
Apache Commons Configuration,org.apache.commons.configuration2.builder,CopyObjectDefaultHandler,0,33,0,2,0,3,0,2,0,2,2,168,250,243,-75,7,5625,49
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultReloadingDetectorFactory,0,24,0,2,0,3,0,2,0,2,2,169,250,243,-74,7,5476,49
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderResultCreatedEvent,0,25,0,2,0,6,0,6,0,6,6,170,211,162,8,49,64,2401
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingBuilderSupportListener,0,38,0,2,0,3,0,2,0,2,2,171,250,243,-72,7,5184,49
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder,0,87,0,2,0,4,0,2,0,2,2,172,234,243,-71,-9,5041,81
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters,0,185,0,2,2,112,5,56,0,24,61,173,23,20,153,3,23409,9
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Configurations,0,269,0,2,0,3,0,2,0,2,2,174,250,243,-69,7,4761,49
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystem,4,22,0,2,0,8,0,4,0,2,4,175,189,196,-21,-7,441,49
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem.HttpOutputStream,14,50,0,2,18,56,9,20,2,8,29,176,54,52,124,2,15376,4
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator.FileLocatorBuilder,0,68,0,2,0,15,0,7,0,3,7,177,154,154,23,0,529,0
Apache Commons Configuration,org.apache.commons.configuration2.io,ClasspathLocationStrategy,0,13,0,2,0,1,0,1,0,1,1,178,273,278,-100,-5,10000,25
Apache Commons Configuration,org.apache.commons.configuration2.sync,ReadWriteSynchronizer,0,38,0,2,2,7,1,6,1,5,7,179,199,154,25,45,625,2025
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateSeparatorParser,0,51,0,2,5,14,3,6,3,5,9,180,159,136,44,23,1936,529
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateTimeZoneParser,0,70,0,2,0,9,1,2,0,2,3,181,183,227,-46,-44,2116,1936
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new ConfigurationNodeVisitorAdapter() {...},0,25,0,2,108,29,40,6,5,5,46,182,99,29,153,70,23409,4900
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeAddData,0,38,0,2,0,24,0,10,0,9,10,183,114,129,54,-15,2916,225
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,40,1,1,0,24,0,13,0,8,13,184,114,110,74,4,5476,16
