Issue Type;Issue key;Issue id;Summary;Assignee;Reporter;Priority;Status;Resolution;Created;Updated;Due Date
Bug;CONFIGURATION-753;13251057;Handling of interpolation is inconsistent;;tpoliaw;Major;Open;;15/Aug/19 16:27;21/Jan/20 11:31;
Bug;CONFIGURATION-749;13237502;IniConfiguration.getSection() behaves inconsistently regarding dot escaping;;McNetic;Major;Open;;04/Jun/19 13:50;04/Jun/19 13:50;
Bug;CONFIGURATION-750;13241399;XMLPropertyListConfiguration cannot set arrays in the correct plist form;ggregory;steinybot;Minor;Closed;Fixed;25/Jun/19 06:32;02/Jul/19 15:10;
