Issue Type;Issue key;Issue id;Summary;Assignee;Reporter;Priority;Status;Resolution;Created;Updated;Due Date
Bug;EMAIL-110;12534647;java.lang.OutOfMemoryError: Java heap space while parsing Mime part;sgoeschl;skruger;Blocker;Closed;Cannot Reproduce;11/Dec/11 09:18;18/Feb/12 21:35;
Bug;EMAIL-132;12668991;Can't delivery to another recipients when send mail to one recipient failed;;allencheng1225;Major;Closed;Fixed;17/Sep/13 11:40;24/Oct/13 20:09;
Bug;EMAIL-95;12455385;content duplicated with UTF8 encoding;sgoeschl;literakl;Major;Closed;Fixed;05/Feb/10 05:50;11/Jan/13 15:47;
Bug;EMAIL-96;12468003;Email.getMailSession() is a mess;sgoeschl;nc;Major;Closed;Fixed;28/Jun/10 02:04;11/Jan/13 15:47;
Bug;EMAIL-120;12610099;attach(DataSource xx) doesn't close inputstream;;mikebell90;Major;Closed;Fixed;03/Oct/12 16:53;11/Jan/13 15:47;
Bug;EMAIL-107;12519186;wrong content-type for embedded PNG images;sgoeschl;dev-21solutions;Major;Closed;Fixed;17/Aug/11 21:15;11/Jan/13 15:47;
Bug;EMAIL-123;12624665;Misleading exception message;;bartlaarhoven;Major;Closed;Duplicate;19/Dec/12 16:34;11/Jan/13 15:47;
Bug;EMAIL-93;12445875;"A dot (""."") is appended to some ULRs in the body of an Html type email. ";sgoeschl;brianbraun;Major;Closed;Cannot Reproduce;18/Jan/10 23:32;14/May/10 05:30;
Bug;EMAIL-104;12506578;"The system property ""mail.mime.charset"" is not applied to contents.";;ikeda;Minor;Closed;Fixed;09/May/11 09:49;23/May/15 07:02;
Bug;EMAIL-101;12480268;Specified Content-ID is not used when embedding a File object in an HtmlEmail;sgoeschl;tekkie;Minor;Closed;Fixed;17/Nov/10 23:16;11/Jan/13 15:47;
Bug;EMAIL-102;12493173;HtmlEmail embed toLowerCase bug;sgoeschl;okanozeren;Minor;Closed;Fixed;14/Dec/10 11:31;11/Jan/13 15:47;
Bug;EMAIL-91;12440113;Incorrect SMTP Port number shown in error message when an email fails to send due to a blocked port and SSL is used.;sgoeschl;kevin_lester;Minor;Closed;Fixed;08/Nov/09 00:59;11/Jan/13 15:47;
